Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene,Custo de combustível - querosene (póspandemia),Quantidade encomendada,Pedidos Firmes em Carteira,Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV,Custo de Transporte (entregas futuras - AVGAS),Custo de Transporte (entregas futuras - QAV)
Aviação Comercial,EMBRAER 190 (E190),50,2008,2009,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",50,0,Hainan,São José dos Campos,China,16805,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 68.043,64","R$ 297.218,43","R$ 14.537.858,04","R$ 3.402.181,84","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),6,2019,2020,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",6,0,Hebei,São José dos Campos,China,16805,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 129.134,95","R$ 297.218,43","R$ 3.720.038,40","R$ 774.809,68","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),14,2004,2005,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,15","R$ 4,60",14,0,JAL,São José dos Campos,Japão,18506,4537,4,"R$ 363.446,45","R$ 775.008,00","R$ 92.476,93","R$ 371.523,04","R$ 5.088.250,31","R$ 1.294.677,02","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),64,2014,2015,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",64,0,JetBlue,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 51.735,39","R$ 148.609,22","R$ 9.304.229,15","R$ 3.311.065,01","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),10,2019,2020,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",10,0,Kenya Airways,São José dos Campos,Quênia,9367,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 96.851,21","R$ 222.913,82","R$ 4.650.048,00","R$ 968.512,10","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),26,2010,2011,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",26,0,KLM,São José dos Campos,Países Baixos,9731,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 78.087,68","R$ 222.913,82","R$ 5.669.764,64","R$ 2.030.279,72","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),5,2008,2009,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",5,0,KunPeng,São José dos Campos,China,16805,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 68.043,64","R$ 297.218,43","R$ 1.453.785,80","R$ 340.218,18","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),2,2016,2017,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",2,0,LAM,São José dos Campos,Moçambique,8353,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 58.345,27","R$ 148.609,22","R$ 290.757,16","R$ 116.690,54","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),9,2007,2008,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",9,0,Lufthansa,São José dos Campos,Alemanha,9923,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 62.721,17","R$ 222.913,82","R$ 1.962.610,84","R$ 564.490,49","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),8,2020,2021,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",8,0,M1 Travel,São José dos Campos,Líbano,10704,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 179.770,31","R$ 222.913,82","R$ 3.720.038,40","R$ 1.438.162,45","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),21,2023,2023,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",21,0,NAC / Aldus,São José dos Campos,Irlanda,9254,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 213.163,77","R$ 222.913,82","R$ 9.765.100,80","R$ 4.476.439,10","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),9,2007,2008,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",9,0,NAC / Jetscape,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 41.814,11","R$ 148.609,22","R$ 1.308.407,22","R$ 376.326,99","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),3,2008,2009,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",3,0,NAS Air,São José dos Campos,Arábia Saudita,11114,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 51.032,73","R$ 222.913,82","R$ 654.203,61","R$ 153.098,18","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),7,2023,2023,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",7,0,NIKI,São José dos Campos,Áustria,9903,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 213.163,77","R$ 222.913,82","R$ 3.255.033,60","R$ 1.492.146,37","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),10,2004,2005,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,15","R$ 4,60",10,0,Regional,São José dos Campos,França,9108,4537,2,"R$ 218.067,87","R$ 465.004,80","R$ 55.486,16","R$ 222.913,82","R$ 2.180.678,71","R$ 554.861,58","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),2,2017,2018,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",2,0,Republic,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 68.641,30","R$ 148.609,22","R$ 290.757,16","R$ 137.282,61","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),11,2010,2011,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,61","R$ 4,60",11,0,Taca,São José dos Campos,El Salvador,6227,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 52.058,45","R$ 148.609,22","R$ 1.599.164,38","R$ 572.643,00","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),3,2009,2010,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,20","R$ 4,60",3,0,TAME,São José dos Campos,Equador,4212,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 19.432,27","R$ 74.304,61","R$ 218.067,87","R$ 58.296,81","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),3,2006,2007,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,41","R$ 4,60",3,0,TRIP,São José dos Campos,Brasil,124,4537,0,"R$ 72.689,29","R$ 155.001,60","R$ 22.740,44","R$ 74.304,61","R$ 218.067,87","R$ 68.221,32","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),25,2004,2005,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,15","R$ 4,60",25,0,US Airways,São José dos Campos,EUA,8490,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 36.990,77","R$ 148.609,22","R$ 3.634.464,51","R$ 924.769,30","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),18,2012,2013,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",18,0,Virgin Australia,São José dos Campos,Austrália,14613,4537,3,"R$ 290.757,16","R$ 620.006,40","R$ 127.461,48","R$ 297.218,43","R$ 5.233.628,89","R$ 2.294.306,60","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190 (E190),2,2008,2009,2,16153,28.080,"R$ 4,50","R$ 5,52","R$ 1,05","R$ 4,60",2,0,Virgin Nigeria,São José dos Campos,Nigéria,6930,4537,1,"R$ 145.378,58","R$ 310.003,20","R$ 34.021,82","R$ 148.609,22","R$ 290.757,16","R$ 68.043,64","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),1,2011,2012,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",1,0,Arkia,São José dos Campos,Israel,10490,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 88.724,55","R$ 222.913,82","R$ 218.067,87","R$ 88.724,55","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),1,2020,2021,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",1,0,Aurigny,São José dos Campos,Guernesei,9138,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 179.770,31","R$ 222.913,82","R$ 479.743,20","R$ 179.770,31","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),59,2012,2013,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",59,0,Azul,São José dos Campos,Brasil,124,4260,0,"R$ 72.689,29","R$ 159.914,40","R$ 31.865,37","R$ 74.304,61","R$ 4.288.668,12","R$ 1.880.056,80","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),4,2009,2010,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,20","R$ 4,60",4,0,Belavia,São José dos Campos,Bielorrússia,11066,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 58.296,81","R$ 222.913,82","R$ 872.271,48","R$ 233.187,24","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),1,2011,2012,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",1,0,BOC Aviation,São José dos Campos,Singapura,15933,4260,3,"R$ 290.757,16","R$ 639.657,60","R$ 118.299,40","R$ 297.218,43","R$ 290.757,16","R$ 118.299,40","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),14,2012,2013,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",14,0,Flybe,São José dos Campos,Reino Unido,9614,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 95.596,11","R$ 222.913,82","R$ 3.052.950,19","R$ 1.338.345,52","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),12,2011,2012,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,83","R$ 4,60",12,0,GECAS,São José dos Campos,EUA,8490,4260,1,"R$ 145.378,58","R$ 319.828,80","R$ 59.149,70","R$ 148.609,22","R$ 1.744.542,96","R$ 709.796,38","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),12,2020,2021,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 3,71","R$ 4,60",12,0,Globalia,São José dos Campos,Espanha,8310,4260,1,"R$ 145.378,58","R$ 319.828,80","R$ 119.846,87","R$ 148.609,22","R$ 3.837.945,60","R$ 1.438.162,45","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),20,2013,2014,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",20,0,Hainan,São José dos Campos,China,16805,4260,3,"R$ 290.757,16","R$ 639.657,60","R$ 112.264,57","R$ 297.218,43","R$ 5.815.143,22","R$ 2.245.291,41","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),4,2022,2023,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",4,0,LOT Polish,São José dos Campos,Polônia,10454,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 213.163,77","R$ 222.913,82","R$ 1.918.972,80","R$ 852.655,07","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),34,2007,2008,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",34,0,Lufthansa,São José dos Campos,Alemanha,9923,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 62.721,17","R$ 222.913,82","R$ 7.414.307,60","R$ 2.132.519,63","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),1,2007,2008,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",1,0,Montenegro,São José dos Campos,Montenegro,9905,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 62.721,17","R$ 222.913,82","R$ 218.067,87","R$ 62.721,17","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),4,2012,2013,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",4,0,NAC / Aldus,São José dos Campos,Irlanda,9254,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 95.596,11","R$ 222.913,82","R$ 872.271,48","R$ 382.384,43","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),2,2016,2017,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",2,0,NAC / Jetscape,São José dos Campos,EUA,8490,4260,1,"R$ 145.378,58","R$ 319.828,80","R$ 58.345,27","R$ 148.609,22","R$ 290.757,16","R$ 116.690,54","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),2,2017,2018,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 2,12","R$ 4,60",2,0,Royal Jordanian,São José dos Campos,Jordânia,10590,4260,2,"R$ 218.067,87","R$ 479.743,20","R$ 102.961,96","R$ 222.913,82","R$ 436.135,74","R$ 205.923,91","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195 (E195),1,2007,2008,2,16153,28.970,"R$ 4,50","R$ 5,52","R$ 1,29","R$ 4,60",1,0,TRIP,São José dos Campos,Brasil,124,4260,0,"R$ 72.689,29","R$ 159.914,40","R$ 20.907,06","R$ 74.304,61","R$ 72.689,29","R$ 20.907,06","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),5,2018,2019,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",5,0,Aercap,São José dos Campos,Irlanda,9254,5278,1,"R$ 153.437,11","R$ 309.120,00","R$ 80.206,69","R$ 156.846,82","R$ 767.185,56","R$ 401.033,46","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),1,2018,2019,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",2,1,Air Kiribati,São José dos Campos,Quiribáti,12272,5278,2,"R$ 230.155,67","R$ 463.680,00","R$ 120.310,04","R$ 235.270,24","R$ 230.155,67","R$ 120.310,04","R$ 463.680,00","R$ 235.270,24"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),0,2021,2022,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",2,2,Aircastle,São José dos Campos,EUA,8490,5278,1,"R$ 153.437,11","R$ 309.120,00","R$ 151.916,38","R$ 156.846,82","R$ 0,00","R$ 0,00","R$ 618.240,00","R$ 313.693,65"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),0,2018,2019,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",13,13,Azorra,São José dos Campos,EUA,8490,5278,1,"R$ 153.437,11","R$ 309.120,00","R$ 80.206,69","R$ 156.846,82","R$ 0,00","R$ 0,00","R$ 4.018.560,00","R$ 2.039.008,72"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),8,2018,2019,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",8,0,Helvetic,São José dos Campos,Suíça,9484,5278,1,"R$ 153.437,11","R$ 309.120,00","R$ 80.206,69","R$ 156.846,82","R$ 1.227.496,89","R$ 641.653,54","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),3,2019,2020,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",3,0,Wideroe,São José dos Campos,Noruega,10506,5278,1,"R$ 153.437,11","R$ 309.120,00","R$ 68.146,54","R$ 156.846,82","R$ 927.360,00","R$ 204.439,61","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 190-E2 (E190-E2),1,2021,2022,2,17049,28.000,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",1,0,Placar Linhas Aéreas,São José dos Campos,Brasil,124,5278,0,"R$ 76.718,56","R$ 154.560,00","R$ 75.958,19","R$ 78.423,41","R$ 154.560,00","R$ 75.958,19","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),17,2023,2023,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",45,28,Aercap,São José dos Campos,Irlanda,9254,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 149.986,48","R$ 156.846,82","R$ 5.437.089,60","R$ 2.549.770,18","R$ 8.955.206,40","R$ 4.391.711,09"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),5,2018,2019,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",13,8,Air Peace,São José dos Campos,Nigéria,6930,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 80.206,69","R$ 156.846,82","R$ 767.185,56","R$ 401.033,46","R$ 2.558.630,40","R$ 1.254.774,60"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),14,2019,2020,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",23,9,Aircastle,São José dos Campos,EUA,8490,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 68.146,54","R$ 156.846,82","R$ 4.477.603,20","R$ 954.051,50","R$ 2.878.459,20","R$ 1.411.621,42"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),0,2021,2022,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",22,22,Azorra,São José dos Campos,EUA,8490,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 151.916,38","R$ 156.846,82","R$ 0,00","R$ 0,00","R$ 7.036.233,60","R$ 3.450.630,14"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),0,2022,2023,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,40","R$ 4,60",51,51,Azul,São José dos Campos,Brasil,124,4800,0,"R$ 76.718,56","R$ 159.914,40","R$ 74.993,24","R$ 78.423,41","R$ 0,00","R$ 0,00","R$ 8.155.634,40","R$ 3.999.594,03"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),5,2018,2019,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",16,11,Binter Canarias,São José dos Campos,Espanha,8310,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 80.206,69","R$ 156.846,82","R$ 767.185,56","R$ 401.033,46","R$ 3.518.116,80","R$ 1.725.315,07"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),4,2021,2022,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",4,0,Helvetic,São José dos Campos,Suíça,9484,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 151.916,38","R$ 156.846,82","R$ 1.279.315,20","R$ 607.665,52","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),7,2021,2022,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",10,3,ICBC,São José dos Campos,China,16805,4800,3,"R$ 306.874,22","R$ 639.657,60","R$ 303.832,76","R$ 313.693,65","R$ 4.477.603,20","R$ 2.126.829,30","R$ 1.918.972,80","R$ 941.080,95"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),0,2019,2020,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",4,4,Luxair,São José dos Campos,Luxemburgo,9595,4800,1,"R$ 153.437,11","R$ 319.828,80","R$ 68.146,54","R$ 156.846,82","R$ 0,00","R$ 0,00","R$ 1.279.315,20","R$ 627.387,30"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),0,2019,2020,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",6,6,Salam Air,São José dos Campos,Omã,12076,4800,2,"R$ 230.155,67","R$ 479.743,20","R$ 102.219,80","R$ 235.270,24","R$ 0,00","R$ 0,00","R$ 2.878.459,20","R$ 1.411.621,42"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),20,2021,2022,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 4,46","R$ 4,60",50,30,Porter,São José dos Campos,Canadá,10478,4800,2,"R$ 230.155,67","R$ 479.743,20","R$ 227.874,57","R$ 235.270,24","R$ 9.594.864,00","R$ 4.557.491,37","R$ 14.392.296,00","R$ 7.058.107,11"
Aviação Comercial,EMBRAER 195-E2 (E195-E2),0,2019,2020,2,17049,28.970,"R$ 4,50","R$ 5,52","R$ 2,00","R$ 4,60",2,2,Royal Jordanian,São José dos Campos,Jordânia,10590,4800,2,"R$ 230.155,67","R$ 479.743,20","R$ 102.219,80","R$ 235.270,24","R$ 0,00","R$ 0,00","R$ 959.486,40","R$ 470.540,47"
